3OAR80	['SCO1815', 'SCO1345', 'SCO1346', 'SCO4501', 'SCO1831', 'SCO4681', 'SCO0330']
FCLT	['SCO5859']
APHi180	['SCO5576']
GLCOAS	['']
PSSAi170	['SCO6467']
DCYTD	['SCO4889', 'SCO5680']
NO2t2r	['SCO2959', 'SCO0213']
MOCOS	['SCO3181', 'SCO3827']
DTARTD	['SCO5044']
RNDR2c	[['SCO5225', 'SCO5226'], 'SCO5805']
EX_xtsn_LPAREN_e_RPAREN_	['']
TUNGSabc	[['SCO3704', 'SCO3705', 'SCO3706']]
CLPNSi140	['SCO7081']
PSDai150	['SCO6468']
FACOAE100	['SCO1153', 'SCO2773']
ADA	['SCO2546', 'SCO4644', 'SCO4901', 'SCO5662', 'SCO7268']
GALCTND	['SCO2401', 'SCO3475']
CYSTS	['SCO3077']
ATPS4r	[['SCO5366', 'SCO5367', 'SCO5368', 'SCO5369', 'SCO5370', 'SCO5371', 'SCO5372', 'SCO5373', 'SCO5374'], ['SCO5367', 'SCO5368', 'SCO5369', 'SCO5370', 'SCO5371', 'SCO5372', 'SCO5373', 'SCO5374']]
EARi140x	['SCO1814']
EARi140y	['SCO1814']
ADK2i	['SCO4723']
LYSt3	['SCO7308']
GTHPi	['SCO4444']
EX_fru_LPAREN_e_RPAREN_	['']
UAGDP	['SCO3122']
TRSARr	['SCO6205']
PDX5POi	['SCO4387', 'SCO4418']
PINOSi170	['SCO1527']
EARai150y	['SCO1814']
EARai150x	['SCO1814']
DM_MSH	['']
3HADi140	['']
TAGSi170	['']
3OAS90	['SCO0548', 'SCO2390', 'SCO1266']
METAT	['SCO1476']
3OAS120	['SCO0548', 'SCO2390', 'SCO1266']
3OAS121	['SCO0548', 'SCO2390', 'SCO1266']
EX_gACT_LPAREN_e_RPAREN_	['']
FE3abc	[['SCO5923', 'SCO5924', 'SCO5925']]
MUCCY	['SCO6698']
CTECOAI6	['SCO6732']
EX_xan_LPAREN_e_RPAREN_	['']
REDS13y	['SCO1814']
REDS13x	['SCO1814']
ADSL1r	['SCO1254']
CTECOAI8	['SCO6732']
3OADPCOAT	[['SCO6702', 'SCO6703']]
DRBK	['SCO2748']
NTP10	['SCO6149']
EX_LalaDglu_LPAREN_e_RPAREN_	['']
APG3PATai170	['']
LEUabc	[['SCO0706', 'SCO0707', 'SCO0708', 'SCO0709', 'SCO0710'], ['SCO2008', 'SCO2009', 'SCO2010', 'SCO2011', 'SCO2012'], ['SCO7181', 'SCO7182', 'SCO7183', 'SCO7184', 'SCO7185']]
BMOCOS	['SCO3181', 'SCO3827']
APG3PAT170	['']
GDPMNP	['SCO0280']
AGPATi150	['SCO0920', 'SCO1085', 'SCO1228', 'SCO1566', 'SCO1759', 'SCO2122']
DHACOAH	['SCO6732', 'SCO4384']
PSSAai150	['SCO6467']
EX_cl_LPAREN_e_RPAREN_	['']
FACOAL180	['SCO6196', 'SCO6195', 'SCO2131', 'SCO2444', 'SCO2561', 'SCO2720', 'SCO3436', 'SCO4006', 'SCO5983', 'SCO6552', 'SCO6968', 'SCO7244']
FACOAL181	['SCO6196', 'SCO6195', 'SCO2131', 'SCO2444', 'SCO2561', 'SCO2720', 'SCO3436', 'SCO4006', 'SCO5983', 'SCO6552', 'SCO6968', 'SCO7244']
COELICHELINabc	[['SCO0494', 'SCO0495', 'SCO0496', 'SCO0497'], ['SCO7398', 'SCO7399', 'SCO7400']]
EX_nac_LPAREN_e_RPAREN_	['']
EX_inost_LPAREN_e_RPAREN_	['']
PAPA160	['']
PAPA161	['']
MOADSUx	[['SCO5201', 'SCO5486']]
EX_akg_LPAREN_e_RPAREN_	['']
23PDE7e	['SCO2015']
AGPAT150	['SCO0920', 'SCO1085', 'SCO1228', 'SCO1566', 'SCO1759', 'SCO2122']
ACACT3r	['SCO6788', 'SCO1324', 'SCO4502', 'SCO6027']
AGPATai150	['SCO0920', 'SCO1085', 'SCO1228', 'SCO1566', 'SCO1759', 'SCO2122']
PHETA1	['SCO1859', 'SCO2053', 'SCO3944', 'SCO4645', 'SCO3658']
FMETTRS	['SCO1473']
ECOAH9ir	['SCO6732']
O2t	['s0001']
ATPHs	['s0001']
CPC3MT	['SCO1857']
NTPP8	['SCO3100']
NTPP7	['SCO3100']
NTPP6	['SCO3100']
NTPP5	['SCO3100']
NTPP4	['SCO3100']
NTPP3	['SCO3100']
NTPP2	['SCO3100']
DM_4CRSOL	['']
EX_chtbs_LPAREN_e_RPAREN_	['']
EX_din_LPAREN_e_RPAREN_	['']
MAN6PI	['SCO3025']
GLYALDt	['SCO1659', 'SCO4057']
LALADGLUt	['SCO3064']
3HAD100	['']
LCADi	['SCO3486']
IACGAMS2	['SCO4204']
3OARai150	['SCO1815', 'SCO1345', 'SCO1346', 'SCO4501', 'SCO1831', 'SCO4681', 'SCO0330']
IG3PS	[['SCO2048', 'SCO2051']]
ACSERt	['SCO2756']
INSDH	['SCO6982']
PSSA181	['SCO6467']
PSSA180	['SCO6467']
DRPA	['SCO4914']
H2Ot	['s0001']
ACPPAT161	['']
ACPPAT160	['']
CSNt2r	['SCO5524', 'SCO5579']
TYRL	['SCO2109']
L_DASH_LACt2r	['SCO3029']
DASYNi180	['SCO5628']
EARi170y	['SCO1814']
EARi170x	['SCO1814']
REDS28	['SCO5891']
ALAt2r	['SCO2914']
EX_glyclt_LPAREN_e_RPAREN_	['']
EAR141y	['SCO1814']
EAR141x	['SCO1814']
DPR	['SCO6562']
PPBNGS	['SCO3311']
MLTG1	['SCO1394', 'SCO2228', 'SCO3780', 'SCO7010']
SULRi	['SCO6102']
EX_hom_DASH_L_LPAREN_e_RPAREN_	['']
PC6AS	['SCO6971']
PC6AR	['SCO3283']
PSSAi180	['SCO6467']
HISTRS	['SCO1508']
CBPS	[['SCO1483', 'SCO1484']]
NTD5e	['SCO4152']
EX_succ_LPAREN_e_RPAREN_	['']
PSSAi160	['SCO6467']
GLUt2r	['SCO4498']
TMPPP	['SCO2104']
RAFt2	['']
FKYNH	['SCO3644']
EX_celb_LPAREN_e_RPAREN_	['']
EX_phe_DASH_L_LPAREN_e_RPAREN_	['']
MMM	['SCO6832', 'SCO4869']
MMSAD5	['SCO2726']
MMSAD3	['SCO2726']
MME	['SCO5398']
ACOAD5f	['SCO1690', 'SCO2774', 'SCO6787']
EAR80y	['SCO1814']
4CMLCL	['SCO6339', 'SCO6697']
CLPNSi150	['SCO7081']
GLCNt2r	['SCO1680', 'SCO4991']
DHFR	['']
GLUDxi	['SCO2999']
VALTA	['SCO1546', 'SCO5523']
MPTSS	['SCO5178']
